Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Birmingham City vs. Norwich City,1.26,0.95,2.21,43.58%,27.83%,28.59%,+129,+259,+250,+139,+181,+286,0.04,-0.22,0.1,EFL
Coventry City vs. QPR,0.73,1.73,2.45,15.76%,61.04%,23.20%,+535,-156,+330,+127,+212,+257,-0.64,0.9,-0.17,EFL
Ipswich Town vs. Huddersfield,2.16,0.77,2.92,69.13%,12.09%,18.78%,-222,+727,+432,-434,+1023,+563,-0.15,0.36,0.25,EFL
Leeds United vs. Southampton,1.91,0.48,2.39,71.87%,8.66%,19.47%,-256,+1055,+413,-175,+445,+345,0.13,-0.53,-0.13,EFL
Leicester City vs. Blackburn,3.19,1.04,4.22,80.00%,8.30%,11.70%,-400,+1105,+755,-147,+436,+287,0.34,-0.56,-0.55,EFL
Middlesbrough vs. Watford,1.58,0.99,2.57,51.23%,23.80%,24.97%,-105,+320,+300,-144,+371,+320,-0.13,0.12,0.05,EFL
Plymouth Argyle vs. Hull City,0.47,1.84,2.31,8.32%,71.01%,20.67%,+1102,-243,+384,+250,+104,+286,-0.71,0.45,-0.2,EFL
Rotherham Utd vs. Cardiff City,0.58,0.94,1.52,21.70%,42.79%,35.51%,+361,+134,+181,+244,+120,+240,-0.25,-0.06,0.21,EFL
Stoke City vs. Bristol City,1.16,1.11,2.28,37.00%,34.21%,28.79%,+170,+192,+247,+108,+254,+261,-0.23,0.21,0.04,EFL
Sunderland vs. Sheffield Weds,1.27,1.22,2.49,37.37%,34.79%,27.84%,+168,+187,+259,+177,+175,+218,0.04,-0.04,-0.11,EFL
Swansea City vs. Millwall,1.51,0.37,1.87,66.23%,8.42%,25.35%,-196,+1088,+294,+104,+272,+254,0.36,-0.69,-0.1,EFL
West Brom vs. Preston,1.71,0.23,1.94,74.89%,4.57%,20.54%,-294,+2088,+387,-212,+627,+338,0.1,-0.67,-0.1,EFL
