Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Alaves vs. Girona,1.14,0.96,2.1,38.96%,31.63%,29.41%,+156,+216,+240,+270,+100,+254,0.44,-0.37,0.04,La Liga
Athletic Club vs. Osasuna,1.26,0.73,1.99,48.94%,20.92%,30.14%,+104,+378,+231,-200,+525,+330,-0.27,0.31,0.3,La Liga
Granada vs. Real Madrid,0.86,1.28,2.14,25.20%,47.06%,27.74%,+297,+112,+260,+459,-196,+359,0.41,-0.29,0.28,La Liga
Mallorca vs. Las Palmas,1.0,0.63,1.63,42.74%,22.97%,34.29%,+134,+334,+192,-153,+500,+260,-0.29,0.38,0.23,La Liga
Villarreal vs. Sevilla,1.36,1.04,2.41,44.80%,28.31%,26.89%,+123,+252,+272,-120,+280,+309,-0.18,0.08,0.1,La Liga
Atletico Madrid vs. Celta Vigo,3.04,1.06,4.1,77.17%,9.86%,12.97%,-333,+914,+671,-222,+500,+390,0.12,-0.41,-0.36,La Liga
Cadiz vs. Getafe,1.09,0.53,1.62,49.27%,18.02%,32.71%,+102,+455,+206,+110,+275,+220,0.03,-0.32,0.05,La Liga
Real Betis vs. Almeria,1.16,0.74,1.9,46.45%,23.54%,30.01%,+114,+325,+233,-277,+650,+440,-0.37,0.77,0.62,La Liga
Valencia vs. Rayo Vallecano,0.98,0.6,1.58,43.57%,21.27%,35.16%,+129,+370,+184,+125,+245,+215,-0.02,-0.27,0.11,La Liga
Barcelona vs. Real Sociedad,1.7,1.03,2.73,52.70%,23.45%,23.85%,-111,+326,+319,-125,+330,+275,-0.05,0.01,-0.11,La Liga
Girona vs. Villarreal,2.91,1.54,4.45,65.54%,18.18%,16.28%,-188,+450,+514,-153,+340,+370,0.08,-0.2,-0.23,La Liga
Osasuna vs. Mallorca,0.84,0.95,1.79,30.54%,36.70%,32.76%,+227,+172,+204,+190,+165,+210,-0.11,-0.03,0.02,La Liga
Real Madrid vs. Alaves,2.0,0.39,2.39,75.76%,5.98%,18.26%,-312,+1572,+448,-312,+800,+459,0.0,-0.46,0.02,La Liga
