Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Torino vs. Bologna,0.5,0.83,1.33,20.70%,40.27%,39.03%,+383,+148,+156,+185,+175,+195,-0.41,0.11,0.15,Serie A
Monza vs. Lazio,1.29,1.9,3.19,25.68%,52.63%,21.69%,+289,-111,+361,+300,-114,+265,0.03,-0.02,-0.21,Serie A
Sassuolo vs. Inter,0.58,4.22,4.8,1.79%,93.69%,4.52%,+5487,-1428,+2112,+475,-204,+380,-0.9,0.4,-0.78,Serie A
AC Milan vs. Genoa,1.51,0.67,2.18,57.04%,16.40%,26.56%,-133,+509,+277,-222,+575,+359,-0.17,0.11,0.22,Serie A
Cagliari vs. Lecce,1.49,1.16,2.65,44.83%,29.54%,25.63%,+123,+239,+290,+114,+265,+225,-0.04,0.08,-0.17,Serie A
Empoli vs. Frosinone,0.93,1.16,2.09,29.48%,40.93%,29.59%,+239,+144,+238,+135,+200,+240,-0.31,0.23,0.01,Serie A
Roma vs. Juventus,1.11,1.08,2.19,35.86%,34.96%,29.18%,+179,+186,+243,+179,+165,+215,0.0,-0.07,-0.08,Serie A
Verona vs. Fiorentina,0.71,1.28,1.99,20.81%,50.41%,28.78%,+380,-102,+247,+215,+129,+235,-0.34,0.16,-0.04,Serie A
Salernitana vs. Atalanta,0.87,2.12,3.0,14.86%,66.27%,18.87%,+573,-196,+430,+600,-263,+440,0.04,-0.09,0.02,Serie A
Udinese vs. Napoli,0.54,2.65,3.19,5.06%,83.00%,11.94%,+1876,-500,+738,+270,-105,+270,-0.81,0.62,-0.56,Serie A
