Game Matchup,Combined Projected Home Goals,Combined Projected Away Goals,Combined Total Projected Goals,Home Win Probability,Away Win Probability,Draw Probability,Implied Home Odds,Implied Away Odds,Implied Draw Odds,Home Odds,Away Odds,Draw Odds,Home Win Edge,Away Win Edge,Draw Edge,League
Luton vs. Everton,1.7,1.71,3.41,39.04%,38.41%,22.55%,+156,+160,+343,+161,+170,+258,0.02,0.04,-0.19,Premier League
Arsenal vs. Bournemouth,1.94,0.89,2.84,61.99%,16.65%,21.36%,-163,+501,+368,-500,+1153,+672,-0.26,1.09,0.65,Premier League
Brentford vs. Fulham,1.45,2.16,3.61,26.25%,53.41%,20.34%,+281,-114,+392,+114,+227,+283,-0.44,0.75,-0.22,Premier League
Burnley vs. Newcastle United,1.19,0.92,2.11,42.67%,28.47%,28.86%,+134,+250,+247,+244,+100,+305,0.47,-0.43,0.17,Premier League
Manchester City vs. Wolverhampton Wanderers,2.78,0.54,3.32,84.34%,4.77%,10.89%,-526,+1996,+818,-1111,+2500,+1227,-0.08,0.24,0.45,Premier League
Sheffield United vs. Nottingham Forest,1.08,2.52,3.6,14.86%,67.75%,17.39%,+573,-208,+475,+399,-156,+340,-0.26,0.11,-0.23,Premier League
Brighton vs. Aston Villa,1.14,1.63,2.77,26.86%,49.07%,24.07%,+272,+104,+315,+175,+148,+275,-0.26,0.22,-0.1,Premier League
Chelsea vs. West Ham,4.86,1.42,6.27,88.74%,5.40%,5.86%,-769,+1752,+1605,-151,+359,+362,0.47,-0.75,-0.73,Premier League
Liverpool vs. Tottenham,2.94,1.08,4.02,74.66%,10.87%,14.47%,-294,+819,+591,-208,+473,+430,0.1,-0.38,-0.23,Premier League
Crystal Palace vs. Manchester United,3.34,1.36,4.7,75.57%,11.53%,12.90%,-312,+767,+675,+139,+183,+281,0.81,-0.67,-0.51,Premier League
